time,latitude,longitude,mag
2021-05-07T04:35:14.150Z,39.461,-120.3145,4.65
2021-05-08T08:13:52.766Z,38.192,-117.8644,4.4
2021-04-14T23:54:02.974Z,35.85296631,-101.0077374,4.3
2021-04-28T11:57:24.950Z,38.1672,-116.7295,4.1
2021-04-20T09:48:34.270Z,40.188,-123.5988333,4.03
2021-04-27T19:42:11.085Z,31.66252346,-104.3703037,4
2021-04-19T18:50:58.790Z,38.757,-122.7228333,3.98
2021-04-19T20:42:38.670Z,44.531,-115.2481667,3.91
2021-04-23T11:18:40.530Z,39.5256667,-123.0365,3.91
2021-04-13T12:22:35.783Z,43.5929,-107.4198,3.9
2021-04-20T02:39:04.860Z,39.5165,-122.017,3.82
2021-05-06T11:35:32.202Z,39.7497,-97.9905,3.8
2021-05-05T08:58:30.010Z,31.4775,-115.6811667,3.71
2021-04-16T00:43:50.653Z,32.6037,-94.015,3.7
2021-04-25T15:33:23.610Z,39.1283333,-120.0433333,3.7
2021-04-26T05:12:05.222Z,31.5172,-115.6238,3.7
2021-04-25T04:59:28.510Z,37.267,-121.6395,3.61
2021-04-13T21:35:03.940Z,33.8063333,-116.0878333,3.54
2021-04-16T04:09:45.220Z,40.4035,-124.4525,3.54
2021-04-17T11:48:50.775Z,36.655,-116.2676,3.5
2021-04-25T10:23:21.682Z,44.2,-114.9781,3.5
2021-04-28T02:10:42.041Z,31.72542813,-104.5739138,3.5
2021-04-19T22:11:35.479Z,34.97366667,-97.69483333,3.47
2021-04-28T10:50:21.900Z,33.1628333,-116.3816667,3.45
2021-05-09T01:55:40.450Z,33.8448333,-118.4446667,3.45
2021-04-10T13:22:06.120Z,32.7705,-115.4393333,3.44
2021-04-09T05:19:50.527Z,41.3251,-116.1724,3.4
2021-04-10T05:49:06.466Z,29.18060303,-97.60512408,3.4
2021-05-03T10:46:54.211Z,31.70002186,-104.150933,3.4
2021-05-04T12:36:14.340Z,36.7290001,-120.9735031,3.38
2021-04-09T14:49:16.332Z,36.2538,-106.7948,3.3
2021-04-10T14:13:21.940Z,38.5226667,-122.5848333,3.26
2021-04-15T14:26:39.469Z,34.98483333,-97.68016667,3.26
2021-05-07T04:26:31.810Z,39.4593315,-120.3143311,3.24
2021-04-26T12:37:11.860Z,39.1235,-120.031,3.23
