time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-20T20:11:27.392Z,31.66052085,-104.3597905,6.362939453,2.5,ml,19,69,0.120466866,0.3,tx,tx2021hsrv,2021-04-21T21:13:34.040Z,"57 km S of Whites City, New Mexico",earthquake,1.225736251,1.794131243,0.1,13,reviewed,tx,tx
2021-04-23T00:29:55.572Z,44.4128,-114.7464,10,2.5,ml,,54,0.261,0.66,us,us6000e3tu,2021-05-04T03:18:47.955Z,"26 km NE of Stanley, Idaho",earthquake,1.2,2,0.048,56,reviewed,us,us
2021-04-24T08:32:07.730Z,38.0857,-118.254,13.5,2.5,ml,33,78.83,0.186,0.2,nn,nn00805686,2021-04-25T04:32:10.040Z,"35 km NNE of Benton, California",earthquake,,3.3,,,automatic,nn,nn
2021-04-26T20:13:21.507Z,31.61008668,-104.3399918,6.671435547,2.5,ml,38,62,0.149113222,0.3,tx,tx2021idqw,2021-04-30T18:51:39.568Z,"61 km WNW of Toyah, Texas",earthquake,1.055128566,1.637231586,0.1,17,reviewed,tx,tx
2021-04-27T10:28:44.896Z,44.3248,-115.0576,11.28,2.5,ml,,60,0.132,0.48,us,us7000dxty,2021-05-03T14:07:31.040Z,"15 km NW of Stanley, Idaho",earthquake,1.5,8.1,0.048,56,reviewed,us,us
2021-04-28T05:45:41.583Z,32.7154541,-100.6862138,6.602783203,2.5,ml,21,44,0.061731603,0.3,tx,tx2021igfg,2021-04-30T20:23:06.866Z,"11 km NE of Hermleigh, Texas",earthquake,1.140000064,1.316370228,0.1,11,reviewed,tx,tx
2021-04-28T23:24:03.690Z,31.72332835,-104.5779306,5.643115234,2.5,ml,19,86,0.061709592,0.3,tx,tx2021ihoe,2021-04-30T22:12:47.471Z,"53 km SSW of Whites City, New Mexico",earthquake,1.497063225,1.348564674,0.1,9,reviewed,tx,tx
2021-04-29T23:27:45.331Z,31.69436199,-104.4217329,6.131567383,2.5,ml,36,68,0.072146329,0.3,tx,tx2021ijju,2021-05-03T15:41:49.888Z,western Texas,earthquake,0.961062541,1.069687261,0.1,19,reviewed,tx,tx
2021-05-02T03:38:57.835Z,31.69478432,-104.1404002,6.979931641,2.5,ml,18,49,0.100875932,0.3,tx,tx2021injc,2021-05-03T18:24:35.518Z,"51 km W of Mentone, Texas",earthquake,1.165269311,1.406594307,0.1,7,reviewed,tx,tx
2021-05-05T10:44:38.699Z,31.98303223,-102.3111185,7.287516276,2.5,ml,22,53,0.030525106,0.2,tx,tx2021itjq,2021-05-05T14:49:03.836Z,"7 km ESE of Gardendale, Texas",earthquake,0.636828707,0.540159597,0.1,10,reviewed,tx,tx
2021-05-05T14:17:45.194Z,38.1999,-117.7233,6.2,2.5,ml,18,97.72,0.124,0.1295,nn,nn00806566,2021-05-05T15:39:33.145Z,"39 km ESE of Mina, Nevada",earthquake,,3.5,0.24,4,reviewed,nn,nn
2021-05-08T08:29:11.020Z,40.4071667,-124.3438333,28.87,2.5,md,18,185,0.0685,0.12,nc,nc73559835,2021-05-08T21:03:59.674Z,"10km NNW of Petrolia, CA",earthquake,0.47,0.65,0.384,28,reviewed,nc,nc
